assetId,kind,mediaType,byteSize,sha256,duplicateGroup,language,rightsStatus,recommendedDisposition,futureObjectKeyHint
mig003-image-9c9341f81066ff92,image,image/png,34811,9c9341f81066ff92beff862f8031d64dfc819cd28932ac1a0a3885129a89b8e7,dg-000000,unknown,RESTRICTED,REVIEW,mig003/image/unknown/9c9341f81066ff92.png
mig003-image-cf1ef6f996a71a43,image,image/png,1365690,cf1ef6f996a71a435159c7db5af8b947ce9188c8d0af0f7fd8af70f3f543413f,dg-000001,unknown,RESTRICTED,REVIEW,mig003/image/unknown/cf1ef6f996a71a43.png
mig003-image-bb10a3b669055236,image,image/png,120338,bb10a3b669055236905608b30033ff31c38eda3fb420b6e90801a7c2aad8ef06,dg-000002,unknown,RESTRICTED,REVIEW,mig003/image/unknown/bb10a3b669055236.png
mig003-unknown-9ed753c676166889,unknown,application/octet-stream,378,9ed753c6761668891562c494317be2f730c23240f0f9b66957b7102648f5003f,dg-000003,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/9ed753c676166889.ps1
mig003-unknown-08d0da3bb5369225,unknown,application/octet-stream,581,08d0da3bb5369225184321c7540c7c2e9a78aa4326a0c38504abe5c27df41265,dg-000004,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/08d0da3bb5369225.ps1
mig003-unknown-e0eeb2f17f1bb6aa,unknown,application/octet-stream,822,e0eeb2f17f1bb6aa63e74fdc1c81eff3ee94088b8517902dbe5f3e5753b9af97,dg-000005,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/e0eeb2f17f1bb6aa.ps1
mig003-unknown-f502b34e0b618a7f,unknown,application/octet-stream,2250,f502b34e0b618a7f1b87be324d97c5b3ac6d71f8e1d52fba43f8c2a6452f14a1,dg-000006,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/f502b34e0b618a7f.py
mig003-image-e23ecc93a0d6e57c,image,image/png,1459040,e23ecc93a0d6e57c835d3b27f5d49bcfb210245c748cfebe4711c927560cd278,dg-000007,unknown,RESTRICTED,REVIEW,mig003/image/unknown/e23ecc93a0d6e57c.png
mig003-image-5abb5f6bb39d7340,image,image/png,1304247,5abb5f6bb39d7340faf8638b64058fe9d25f90cfe6b040807bead156dde6d68f,dg-000008,unknown,RESTRICTED,REVIEW,mig003/image/unknown/5abb5f6bb39d7340.png
mig003-image-0ba24faa7e78aacf,image,image/png,1756430,0ba24faa7e78aacfe2f83611fb617e59c498e9eddfc888aebce48f6d37e1b55b,dg-000009,unknown,RESTRICTED,REVIEW,mig003/image/unknown/0ba24faa7e78aacf.png
mig003-image-ad4d1572cc664a35,image,image/png,1767911,ad4d1572cc664a35935cbe478977244ae6154c8e9686c600929e087aaee9a427,dg-000010,unknown,RESTRICTED,REVIEW,mig003/image/unknown/ad4d1572cc664a35.png
