sequence,page_id,route,reference,size,round,MAE,P10,P20,SSIM,overflow,console_errors,interaction,status
1,teacher-dashboard,/teacher,exec-38e4c049-86f7-497d-a707-26583bc82cc0.png,1659x948,10,22.9963,65.3364,75.9066,0.582408,0,0,17/17,PASS
2,admin-dashboard,/admin,exec-ade7f912-79c0-4f28-b7ae-6fe9c92a9068.png,1659x948,8,17.3605,66.9045,77.9142,0.567067,0,0,26/26,PASS
3,volunteer-dashboard,/volunteer,exec-998d30e2-38f9-4ac9-85d2-fd7479c88914.png,1659x948,3,18.7289,76.8657,82.4452,0.673725,0,0,20/20,PASS
4,teacher-tools-hub,/teacher-tools,exec-038fa424-69db-493e-9b74-6f667ef6a1e0.png,1659x948,1,17.1383,72.6403,82.3742,0.599090,0,0,25/25,PASS
5,student-course-center,/student/courses,exec-16ccc8fe-55a6-44a1-b185-8908795084d9.png,1659x948,2,16.8951,64.4197,83.3988,0.673187,0,0,23/23,PASS
6,product-plans,/plans,exec-7cf01fa6-dab4-4937-a0e9-dc62534fad44.png,1659x948,6,23.3927,62.4439,75.2915,0.629903,0,0,22/22,PASS
7,research-dashboard,/research,exec-2c20906b-6cce-4857-859f-4cafa7c2590b.png,1659x948,3,15.3651,77.1523,83.7276,0.628655,0,0,25/25,PASS
8,tibetan-translation,/tools/tibetan-translation,exec-fa1cc9ef-abe0-440a-a2ee-806f650b47fa.png,1659x948,,,,,,,,,QUEUED
9,teacher-classes,/teacher/classes,exec-5c6f4189-325a-4b33-8678-ed297123cfbd.png,1659x948,,,,,,,,,QUEUED
10,teacher-class-detail,/teacher/classes/:classId,exec-d22f8b53-9263-46e6-808d-622d1f1c733d.png,1659x948,,,,,,,,,QUEUED
11,teacher-student-profile,/teacher/students/:studentId,exec-a4512780-f733-43d1-9a0d-593ba93a3896.png,1659x948,,,,,,,,,QUEUED
12,teacher-assessment-tasks,/teacher/assessments,exec-de4814aa-b6c4-4e67-b4cc-333036fd1c56.png,1659x948,,,,,,,,,QUEUED
13,teacher-assessment-create,/teacher/assessments/new,exec-99177f21-cf52-4655-abfc-d85b0e10e086.png,1659x948,,,,,,,,,QUEUED
14,teacher-assessment-detail,/teacher/assessments/:assessmentId,teacher-assessment-detail-candidate.png,1659x948,,,,,,,,,QUEUED
15,admin-schools,/admin/schools,admin-schools-candidate.png,1659x948,,,,,,,,,QUEUED
16,admin-school-detail,/admin/schools/:schoolId,admin-school-detail-candidate.png,1659x948,,,,,,,,,QUEUED
17,admin-users-roles,/admin/users,admin-users-roles-candidate.png,1659x948,,,,,,,,,QUEUED
18,admin-curriculum,/admin/curriculum,admin-curriculum-candidate.png,1659x948,,,,,,,,,QUEUED
19,admin-content-review,/admin/reviews,admin-content-review-candidate.png,1659x948,,,,,,,,,QUEUED
20,admin-assessment-content,/admin/assessment-content,admin-assessment-content-candidate.png,1659x948,,,,,,,,,QUEUED
21,admin-assessment-links,/admin/assessment-links,admin-assessment-links.png,1672x941,,,,,,,,,QUEUED
22,admin-recommendation-rules,/admin/recommendation-rules,admin-recommendation-rules.png,1659x948,,,,,,,,,QUEUED
23,admin-product-plans,/admin/product-plans,admin-product-plans.png,1672x941,,,,,,,,,QUEUED
24,admin-privacy-audit,/admin/privacy,admin-privacy-audit.png,1672x941,,,,,,,,,QUEUED
25,admin-system-providers,/admin/system-providers,admin-system-providers.png,1660x948,,,,,,,,,QUEUED
26,volunteer-training-home,/training/volunteer,volunteer-training-home.png,1672x941,,,,,,,,,QUEUED
27,volunteer-training-player,/training/volunteer/courses/:courseId,volunteer-training-player.png,1672x941,,,,,,,,,QUEUED
28,volunteer-exam,/training/volunteer/exam,volunteer-exam.png,1672x941,,,,,,,,,QUEUED
29,volunteer-training-completion,/training/volunteer/completion,volunteer-training-completion.png,1672x941,,,,,,,,,QUEUED
30,volunteer-service-tasks,/volunteer/service,volunteer-service-tasks.png,1672x941,,,,,,,,,QUEUED
31,volunteer-pairings,/volunteer/pairings,volunteer-pairings.png,1672x941,,,,,,,,,QUEUED
32,volunteer-incident-report,/volunteer/incidents/new,volunteer-incident-report.png,1672x941,,,,,,,,,QUEUED
33,mindmate,/teacher-tools/mindmate,mindmate.png,1672x941,,,,,,,,,QUEUED
34,mindgraph,/teacher-tools/mindgraph,mindgraph.png,1672x941,,,,,,,,,QUEUED
