assetId,sourceKey,kind,mediaType,byteSize,sha256,duplicateGroup,language,altTextStatus,captionStatus,transcriptStatus,sourceType,sourceReference,rightsStatus,rightsEvidence,recommendedDisposition,reviewReasonCode,futureObjectKeyHint
mig003-image-d5ef8a7f1f3310c5,.audit-course-desktop.png,image,image/png,105395,d5ef8a7f1f3310c530dea716aad14e4fa937a151429069996a3d279262981652,dg-000000,unknown,MISSING,N/A,N/A,internal-audit-screenshot,internal-audit-screenshot,RESTRICTED,Internal screenshot capture; may contain third-party UI or placeholder content.,REVIEW,restricted-screenshot,mig003/image/unknown/d5ef8a7f1f3310c5.png
mig003-image-9c9341f81066ff92,.audit-course-mobile.png,image,image/png,34811,9c9341f81066ff92beff862f8031d64dfc819cd28932ac1a0a3885129a89b8e7,dg-000001,unknown,MISSING,N/A,N/A,internal-audit-screenshot,internal-audit-screenshot,RESTRICTED,Internal screenshot capture; may contain third-party UI or placeholder content.,REVIEW,restricted-screenshot,mig003/image/unknown/9c9341f81066ff92.png
mig003-image-cf1ef6f996a71a43,.audit-home-desktop.png,image,image/png,1365690,cf1ef6f996a71a435159c7db5af8b947ce9188c8d0af0f7fd8af70f3f543413f,dg-000002,unknown,MISSING,N/A,N/A,internal-audit-screenshot,internal-audit-screenshot,RESTRICTED,Internal screenshot capture; may contain third-party UI or placeholder content.,REVIEW,restricted-screenshot,mig003/image/unknown/cf1ef6f996a71a43.png
mig003-image-bb10a3b669055236,.audit-home-mobile.png,image,image/png,120338,bb10a3b669055236905608b30033ff31c38eda3fb420b6e90801a7c2aad8ef06,dg-000003,unknown,MISSING,N/A,N/A,internal-audit-screenshot,internal-audit-screenshot,RESTRICTED,Internal screenshot capture; may contain third-party UI or placeholder content.,REVIEW,restricted-screenshot,mig003/image/unknown/bb10a3b669055236.png
mig003-unknown-9ed753c676166889,.codex/check_resource_page.ps1,unknown,application/octet-stream,378,9ed753c6761668891562c494317be2f730c23240f0f9b66957b7102648f5003f,dg-000004,unknown,N/A,N/A,N/A,internal-dev-screenshot,internal-dev-screenshot,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/9ed753c676166889.ps1
mig003-unknown-08d0da3bb5369225,.codex/chrome_capture_selected.ps1,unknown,application/octet-stream,581,08d0da3bb5369225184321c7540c7c2e9a78aa4326a0c38504abe5c27df41265,dg-000005,unknown,N/A,N/A,N/A,internal-dev-screenshot,internal-dev-screenshot,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/08d0da3bb5369225.ps1
mig003-unknown-e0eeb2f17f1bb6aa,.codex/chrome_capture.ps1,unknown,application/octet-stream,822,e0eeb2f17f1bb6aa63e74fdc1c81eff3ee94088b8517902dbe5f3e5753b9af97,dg-000006,unknown,N/A,N/A,N/A,internal-dev-screenshot,internal-dev-screenshot,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/e0eeb2f17f1bb6aa.ps1
mig003-unknown-f502b34e0b618a7f,.codex/ui_audit_capture.py,unknown,application/octet-stream,2250,f502b34e0b618a7f1b87be324d97c5b3ac6d71f8e1d52fba43f8c2a6452f14a1,dg-000007,unknown,N/A,N/A,N/A,internal-dev-screenshot,internal-dev-screenshot,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/f502b34e0b618a7f.py
mig003-image-e23ecc93a0d6e57c,.codex/ui_audit_chrome/admin-dashboard.png,image,image/png,1459040,e23ecc93a0d6e57c835d3b27f5d49bcfb210245c748cfebe4711c927560cd278,dg-000008,unknown,PRESENT,N/A,N/A,internal-dev-screenshot,internal-dev-screenshot,RESTRICTED,Internal screenshot capture; may contain third-party UI or placeholder content.,REVIEW,restricted-screenshot,mig003/image/unknown/e23ecc93a0d6e57c.png
mig003-image-5abb5f6bb39d7340,.codex/ui_audit_chrome/admin-student-management.png,image,image/png,1304247,5abb5f6bb39d7340faf8638b64058fe9d25f90cfe6b040807bead156dde6d68f,dg-000009,unknown,PRESENT,N/A,N/A,internal-dev-screenshot,internal-dev-screenshot,RESTRICTED,Internal screenshot capture; may contain third-party UI or placeholder content.,REVIEW,restricted-screenshot,mig003/image/unknown/5abb5f6bb39d7340.png
